"date","discharge"
2008-10-01,40
2008-10-02,39
2008-10-03,39
2008-10-04,39
2008-10-05,39
2008-10-06,38
2008-10-07,37
2008-10-08,100
2008-10-09,74
2008-10-10,46
2008-10-11,41
2008-10-12,38
2008-10-13,37
2008-10-14,37
2008-10-15,36
2008-10-16,36
2008-10-17,36
2008-10-18,36
2008-10-19,36
2008-10-20,35
2008-10-21,35
2008-10-22,35
2008-10-23,34
2008-10-24,56
2008-10-25,76
2008-10-26,46
2008-10-27,41
2008-10-28,39
2008-10-29,38
2008-10-30,38
2008-10-31,37
2008-11-01,37
2008-11-02,37
2008-11-03,36
2008-11-04,36
2008-11-05,35
2008-11-06,35
2008-11-07,35
2008-11-08,36
2008-11-09,35
2008-11-10,35
2008-11-11,34
2008-11-12,34
2008-11-13,84
2008-11-14,57
2008-11-15,95
2008-11-16,71
2008-11-17,57
2008-11-18,51
2008-11-19,47
2008-11-20,46
2008-11-21,44
2008-11-22,42
2008-11-23,42
2008-11-24,47
2008-11-25,66
2008-11-26,52
2008-11-27,49
2008-11-28,47
2008-11-29,51
2008-11-30,78
2008-12-01,72
2008-12-02,62
2008-12-03,58
2008-12-04,56
2008-12-05,58
2008-12-06,55
2008-12-07,52
2008-12-08,50
2008-12-09,50
2008-12-10,358
2008-12-11,665
2008-12-12,395
2008-12-13,210
2008-12-14,157
2008-12-15,150
2008-12-16,172
2008-12-17,253
2008-12-18,235
2008-12-19,191
2008-12-20,167
2008-12-21,204
2008-12-22,166
2008-12-23,147
2008-12-24,139
2008-12-25,167
2008-12-26,144
2008-12-27,148
2008-12-28,202
2008-12-29,200
2008-12-30,171
2008-12-31,152
2009-01-01,135
2009-01-02,131
2009-01-03,122
2009-01-04,142
2009-01-05,134
2009-01-06,684
2009-01-07,998
2009-01-08,486
2009-01-09,335
2009-01-10,270
2009-01-11,249
2009-01-12,211
2009-01-13,192
2009-01-14,175
2009-01-15,162
2009-01-16,149
2009-01-17,146
2009-01-18,144
2009-01-19,137
2009-01-20,128
2009-01-21,121
2009-01-22,117
2009-01-23,115
2009-01-24,115
2009-01-25,108
2009-01-26,105
2009-01-27,102
2009-01-28,123
2009-01-29,123
2009-01-30,111
2009-01-31,105
2009-02-01,102
2009-02-02,102
2009-02-03,99
2009-02-04,94
2009-02-05,92
2009-02-06,91
2009-02-07,90
2009-02-08,89
2009-02-09,87
2009-02-10,85
2009-02-11,106
2009-02-12,115
2009-02-13,95
2009-02-14,93
2009-02-15,90
2009-02-16,87
2009-02-17,84
2009-02-18,164
2009-02-19,164
2009-02-20,132
2009-02-21,120
2009-02-22,113
2009-02-23,104
2009-02-24,100
2009-02-25,97
2009-02-26,96
2009-02-27,117
2009-02-28,166
2009-03-01,189
2009-03-02,170
2009-03-03,150
2009-03-04,138
2009-03-05,128
2009-03-06,122
2009-03-07,117
2009-03-08,113
2009-03-09,107
2009-03-10,102
2009-03-11,100
2009-03-12,96
2009-03-13,96
2009-03-14,136
2009-03-15,372
2009-03-16,263
2009-03-17,214
2009-03-18,185
2009-03-19,167
2009-03-20,154
2009-03-21,144
2009-03-22,137
2009-03-23,131
2009-03-24,126
2009-03-25,159
2009-03-26,231
2009-03-27,347
2009-03-28,443
2009-03-29,492
2009-03-30,351
2009-03-31,282
2009-04-01,280
2009-04-02,249
2009-04-03,351
2009-04-04,282
2009-04-05,250
2009-04-06,231
2009-04-07,214
2009-04-08,200
2009-04-09,190
2009-04-10,243
2009-04-11,259
2009-04-12,222
2009-04-13,229
2009-04-14,238
2009-04-15,220
2009-04-16,204
2009-04-17,193
2009-04-18,185
2009-04-19,185
2009-04-20,293
2009-04-21,229
2009-04-22,210
2009-04-23,197
2009-04-24,185
2009-04-25,175
2009-04-26,167
2009-04-27,161
2009-04-28,156
2009-04-29,152
2009-04-30,147
2009-05-01,155
2009-05-02,152
2009-05-03,217
2009-05-04,236
2009-05-05,228
2009-05-06,318
2009-05-07,356
2009-05-08,347
2009-05-09,301
2009-05-10,256
2009-05-11,231
2009-05-12,211
2009-05-13,196
2009-05-14,189
2009-05-15,185
2009-05-16,191
2009-05-17,191
2009-05-18,176
2009-05-19,164
2009-05-20,156
2009-05-21,151
2009-05-22,146
2009-05-23,145
2009-05-24,174
2009-05-25,211
2009-05-26,711
2009-05-27,717
2009-05-28,492
2009-05-29,433
2009-05-30,339
2009-05-31,288
2009-06-01,252
2009-06-02,228
2009-06-03,212
2009-06-04,205
2009-06-05,222
2009-06-06,195
2009-06-07,181
2009-06-08,171
2009-06-09,163
2009-06-10,158
2009-06-11,159
2009-06-12,154
2009-06-13,144
2009-06-14,139
2009-06-15,136
2009-06-16,133
2009-06-17,132
2009-06-18,167
2009-06-19,132
2009-06-20,123
2009-06-21,121
2009-06-22,117
2009-06-23,113
2009-06-24,108
2009-06-25,104
2009-06-26,103
2009-06-27,100
2009-06-28,97
2009-06-29,94
2009-06-30,90
2009-07-01,94
2009-07-02,88
2009-07-03,85
2009-07-04,83
2009-07-05,87
2009-07-06,93
2009-07-07,82
2009-07-08,111
2009-07-09,94
2009-07-10,84
2009-07-11,81
2009-07-12,80
2009-07-13,117
2009-07-14,82
