"date","discharge"
2009-07-15,76
2009-07-16,77
2009-07-17,73
2009-07-18,70
2009-07-19,67
2009-07-20,66
2009-07-21,65
2009-07-22,64
2009-07-23,69
2009-07-24,63
2009-07-25,61
2009-07-26,59
2009-07-27,58
2009-07-28,76
2009-07-29,101
2009-07-30,79
2009-07-31,85
2009-08-01,77
2009-08-02,83
2009-08-03,71
2009-08-04,64
2009-08-05,73
2009-08-06,64
2009-08-07,60
2009-08-08,58
2009-08-09,56
2009-08-10,54
2009-08-11,53
2009-08-12,61
2009-08-13,62
2009-08-14,56
2009-08-15,53
2009-08-16,66
2009-08-17,82
2009-08-18,96
2009-08-19,105
2009-08-20,94
2009-08-21,118
2009-08-22,81
2009-08-23,69
2009-08-24,66
2009-08-25,62
2009-08-26,58
2009-08-27,76
2009-08-28,109
2009-08-29,88
2009-08-30,71
2009-08-31,147
2009-09-01,89
2009-09-02,76
2009-09-03,68
2009-09-04,64
2009-09-05,61
2009-09-06,58
2009-09-07,56
2009-09-08,55
2009-09-09,65
2009-09-10,82
2009-09-11,63
2009-09-12,59
2009-09-13,57
2009-09-14,54
2009-09-15,92
2009-09-16,141
2009-09-17,250
2009-09-18,147
2009-09-19,124
2009-09-20,791
2009-09-21,2400
2009-09-22,1020
2009-09-23,460
2009-09-24,308
2009-09-25,263
2009-09-26,401
2009-09-27,439
2009-09-28,301
2009-09-29,233
2009-09-30,201
2009-10-01,181
2009-10-02,166
2009-10-03,154
2009-10-04,143
2009-10-05,204
2009-10-06,156
2009-10-07,184
2009-10-08,155
2009-10-09,146
2009-10-10,148
2009-10-11,135
2009-10-12,195
2009-10-13,176
2009-10-14,260
2009-10-15,283
2009-10-16,261
2009-10-17,221
2009-10-18,194
2009-10-19,175
2009-10-20,163
2009-10-21,152
2009-10-22,144
2009-10-23,234
2009-10-24,402
2009-10-25,247
2009-10-26,211
2009-10-27,358
2009-10-28,432
2009-10-29,311
2009-10-30,270
2009-10-31,407
2009-11-01,439
2009-11-02,349
2009-11-03,298
2009-11-04,262
2009-11-05,239
2009-11-06,221
2009-11-07,208
2009-11-08,195
2009-11-09,191
2009-11-10,303
2009-11-11,726
2009-11-12,432
2009-11-13,336
2009-11-14,292
2009-11-15,261
2009-11-16,242
2009-11-17,235
2009-11-18,553
2009-11-19,383
2009-11-20,325
2009-11-21,292
2009-11-22,278
2009-11-23,266
2009-11-24,246
2009-11-25,233
2009-11-26,223
2009-11-27,213
2009-11-28,205
2009-11-29,199
2009-11-30,212
2009-12-01,202
2009-12-02,586
2009-12-03,506
2009-12-04,366
2009-12-05,316
2009-12-06,281
2009-12-07,259
2009-12-08,292
2009-12-09,895
2009-12-10,502
2009-12-11,382
2009-12-12,337
2009-12-13,389
2009-12-14,357
2009-12-15,335
2009-12-16,307
2009-12-17,290
2009-12-18,474
2009-12-19,521
2009-12-20,401
2009-12-21,350
2009-12-22,321
2009-12-23,300
2009-12-24,287
2009-12-25,804
2009-12-26,539
2009-12-27,428
2009-12-28,376
2009-12-29,340
2009-12-30,317
2009-12-31,322
2010-01-01,300
2010-01-02,280
2010-01-03,265
2010-01-04,255
2010-01-05,244
2010-01-06,236
2010-01-07,231
2010-01-08,223
2010-01-09,212
2010-01-10,205
2010-01-11,203
2010-01-12,201
2010-01-13,195
2010-01-14,192
2010-01-15,189
2010-01-16,188
2010-01-17,416
2010-01-18,311
2010-01-19,262
2010-01-20,246
2010-01-21,338
2010-01-22,335
2010-01-23,295
2010-01-24,860
2010-01-25,1090
2010-01-26,586
2010-01-27,445
2010-01-28,385
2010-01-29,352
2010-01-30,367
2010-01-31,327
2010-02-01,308
2010-02-02,345
2010-02-03,332
2010-02-04,319
2010-02-05,1010
2010-02-06,870
2010-02-07,598
2010-02-08,489
2010-02-09,449
2010-02-10,404
2010-02-11,373
2010-02-12,354
2010-02-13,334
2010-02-14,318
2010-02-15,314
2010-02-16,292
2010-02-17,280
2010-02-18,268
2010-02-19,261
2010-02-20,254
2010-02-21,249
2010-02-22,281
2010-02-23,260
2010-02-24,249
2010-02-25,238
2010-02-26,230
2010-02-27,225
2010-02-28,218
2010-03-01,210
2010-03-02,221
2010-03-03,212
2010-03-04,204
2010-03-05,199
2010-03-06,194
2010-03-07,191
2010-03-08,189
2010-03-09,187
2010-03-10,188
2010-03-11,201
2010-03-12,224
2010-03-13,252
2010-03-14,233
2010-03-15,221
2010-03-16,211
2010-03-17,204
2010-03-18,198
2010-03-19,190
2010-03-20,182
2010-03-21,212
2010-03-22,268
2010-03-23,226
2010-03-24,213
2010-03-25,206
2010-03-26,203
2010-03-27,190
2010-03-28,247
2010-03-29,233
2010-03-30,214
2010-03-31,202
2010-04-01,194
2010-04-02,186
2010-04-03,179
2010-04-04,174
2010-04-05,170
2010-04-06,167
2010-04-07,163
2010-04-08,236
2010-04-09,211
2010-04-10,187
2010-04-11,178
2010-04-12,172
2010-04-13,167
2010-04-14,163
2010-04-15,160
2010-04-16,157
2010-04-17,153
2010-04-18,149
2010-04-19,145
2010-04-20,147
2010-04-21,145
2010-04-22,139
2010-04-23,136
2010-04-24,280
2010-04-25,684
2010-04-26,310
2010-04-27,251
2010-04-28,221
2010-04-29,204
2010-04-30,194
2010-05-01,189
2010-05-02,182
2010-05-03,419
2010-05-04,309
2010-05-05,253
2010-05-06,226
2010-05-07,207
2010-05-08,195
2010-05-09,181
2010-05-10,177
2010-05-11,178
2010-05-12,171
2010-05-13,164
2010-05-14,157
2010-05-15,155
2010-05-16,159
2010-05-17,161
2010-05-18,151
2010-05-19,143
2010-05-20,138
2010-05-21,144
2010-05-22,137
2010-05-23,131
2010-05-24,127
2010-05-25,126
2010-05-26,124
2010-05-27,123
2010-05-28,121
2010-05-29,124
2010-05-30,124
2010-05-31,307
2010-06-01,265
2010-06-02,194
2010-06-03,161
2010-06-04,156
2010-06-05,163
2010-06-06,151
2010-06-07,141
2010-06-08,128
2010-06-09,132
2010-06-10,125
2010-06-11,118
2010-06-12,114
2010-06-13,110
2010-06-14,104
2010-06-15,138
2010-06-16,179
2010-06-17,128
2010-06-18,115
2010-06-19,110
2010-06-20,103
2010-06-21,98
2010-06-22,108
2010-06-23,108
2010-06-24,101
2010-06-25,99
2010-06-26,109
2010-06-27,103
2010-06-28,114
2010-06-29,99
2010-06-30,93
2010-07-01,90
2010-07-02,88
2010-07-03,86
2010-07-04,83
2010-07-05,80
2010-07-06,77
2010-07-07,74
2010-07-08,72
2010-07-09,71
2010-07-10,74
2010-07-11,71
2010-07-12,79
2010-07-13,76
2010-07-14,81
2010-07-15,70
2010-07-16,67
2010-07-17,67
2010-07-18,78
2010-07-19,75
2010-07-20,67
2010-07-21,64
2010-07-22,64
2010-07-23,65
2010-07-24,60
2010-07-25,58
2010-07-26,59
2010-07-27,57
2010-07-28,55
2010-07-29,54
2010-07-30,53
2010-07-31,54
2010-08-01,56
2010-08-02,55
2010-08-03,57
2010-08-04,58
2010-08-05,58
2010-08-06,70
2010-08-07,63
2010-08-08,59
2010-08-09,65
2010-08-10,61
2010-08-11,58
2010-08-12,81
2010-08-13,61
2010-08-14,70
2010-08-15,61
2010-08-16,60
2010-08-17,60
2010-08-18,58
2010-08-19,59
2010-08-20,58
2010-08-21,188
2010-08-22,99
2010-08-23,67
2010-08-24,58
2010-08-25,55
2010-08-26,53
2010-08-27,53
2010-08-28,52
2010-08-29,49
2010-08-30,47
2010-08-31,46
2010-09-01,44
2010-09-02,43
2010-09-03,42
2010-09-04,40
2010-09-05,39
2010-09-06,39
2010-09-07,39
2010-09-08,39
2010-09-09,39
2010-09-10,37
2010-09-11,61
2010-09-12,66
2010-09-13,44
2010-09-14,41
2010-09-15,39
2010-09-16,38
2010-09-17,39
2010-09-18,38
2010-09-19,37
2010-09-20,36
2010-09-21,35
2010-09-22,35
2010-09-23,39
2010-09-24,35
2010-09-25,34
2010-09-26,125
2010-09-27,145
2010-09-28,127
2010-09-29,74
2010-09-30,151
