"date","discharge"
2008-10-01,36.50478
2008-10-02,34.70568
2008-10-03,33.06667
2008-10-04,32.58926
2008-10-05,32.11295
2008-10-06,31.8752
2008-10-07,31.40054
2008-10-08,33.70581
2008-10-09,46.30544
2008-10-10,35.60196
2008-10-11,40.80553
2008-10-12,37.56457
2008-10-13,35.10555
2008-10-14,33.9058
2008-10-15,33.30578
2008-10-16,32.58926
2008-10-17,32.82783
2008-10-18,33.5058
2008-10-19,33.06667
2008-10-20,31.8752
2008-10-21,31.8752
2008-10-22,32.11295
2008-10-23,32.11295
2008-10-24,34.30576
2008-10-25,90.73454
2008-10-26,64.7776
2008-10-27,36.0353
2008-10-28,36.63229
2008-10-29,39.62742
2008-10-30,40.80553
2008-10-31,39.87619
2008-11-01,39.18092
2008-11-02,38.71825
2008-11-03,38.02552
2008-11-04,38.02552
2008-11-05,38.71825
2008-11-06,38.02552
2008-11-07,37.79496
2008-11-08,38.71825
2008-11-09,39.41251
2008-11-10,37.79496
2008-11-11,37.56457
2008-11-12,37.33435
2008-11-13,58.87921
2008-11-14,104.0297
2008-11-15,55.98587
2008-11-16,63.70087
2008-11-17,45.5211
2008-11-18,38.78553
2008-11-19,35.16887
2008-11-20,33.58309
2008-11-21,34.34339
2008-11-22,36.30955
2008-11-23,36.96085
2008-11-24,36.96085
2008-11-25,33.7271
2008-11-26,33.64294
2008-11-27,36.4702
2008-11-28,37.29538
2008-11-29,37.63605
2008-11-30,43.48876
2008-12-01,70.91265
2008-12-02,50.56546
2008-12-03,42.27289
2008-12-04,39.51086
2008-12-05,37.91599
2008-12-06,36.32434
2008-12-07,35.16887
2008-12-08,33.7271
2008-12-09,33.78073
2008-12-10,108.2443
2008-12-11,413.2544
2008-12-12,575.135
2008-12-13,258.2631
2008-12-14,147.8623
2008-12-15,128.269
2008-12-16,192.9294
2008-12-17,233.0005
2008-12-18,206.3776
2008-12-19,150.8143
2008-12-20,121.6233
2008-12-21,124.6289
2008-12-22,107.1307
2008-12-23,92.11048
2008-12-24,88.11089
2008-12-25,102.2692
2008-12-26,96.76426
2008-12-27,93.20884
2008-12-28,105.1343
2008-12-29,140.9637
2008-12-30,107.1307
2008-12-31,95.12597
2009-01-01,86.58616
2009-01-02,80.28192
2009-01-03,77.40745
2009-01-04,73.63158
2009-01-05,74.09999
2009-01-06,157.8698
2009-01-07,615.1892
2009-01-08,580.4045
2009-01-09,294.281
2009-01-10,206.3776
2009-01-11,174.9357
2009-01-12,148.9335
2009-01-13,128.524
2009-01-14,115.9012
2009-01-15,104.4712
2009-01-16,94.98924
2009-01-17,86.58616
2009-01-18,93.4831
2009-01-19,89.63136
2009-01-20,86.16958
2009-01-21,72.25022
2009-01-22,70.6905
2009-01-23,72.69785
2009-01-24,69.58311
2009-01-25,66.73019
2009-01-26,62.84365
2009-01-27,60.8168
2009-01-28,63.70087
2009-01-29,80.041
2009-01-30,64.99364
2009-01-31,59.52431
2009-02-01,57.59132
2009-02-02,57.10916
2009-02-03,59.04041
2009-02-04,53.90628
2009-02-05,45.99153
2009-02-06,52.47165
2009-02-07,56.14619
2009-02-08,52.15342
2009-02-09,50.88263
2009-02-10,49.61528
2009-02-11,50.40696
2009-02-12,96.35511
2009-02-13,70.6905
2009-02-14,60.49339
2009-02-15,58.55694
2009-02-16,56.46698
2009-02-17,52.94939
2009-02-18,66.29468
2009-02-19,92.93445
2009-02-20,71.58044
2009-02-21,61.14039
2009-02-22,58.39588
2009-02-23,55.5052
2009-02-24,53.4276
2009-02-25,52.47165
2009-02-26,51.8354
2009-02-27,56.46698
2009-02-28,91.83556
2009-03-01,164.1191
2009-03-02,166.1176
2009-03-03,113.4081
2009-03-04,95.94568
2009-03-05,90.3211
2009-03-06,87.83398
2009-03-07,87.97245
2009-03-08,84.17051
2009-03-09,76.69451
2009-03-10,70.24687
2009-03-11,65.64313
2009-03-12,62.20317
2009-03-13,59.36296
2009-03-14,72.47392
2009-03-15,181.8205
2009-03-16,217.4915
2009-03-17,145.994
2009-03-18,118.6382
2009-03-19,102.7086
2009-03-20,94.98924
2009-03-21,88.66427
2009-03-22,83.92562
2009-03-23,78.84016
2009-03-24,75.27549
2009-03-25,82.21827
2009-03-26,146.7937
2009-03-27,240.4699
2009-03-28,482.8273
2009-03-29,526.1898
2009-03-30,403.0521
2009-03-31,263.7279
2009-04-01,240.4699
2009-04-02,247.9838
2009-04-03,299.9241
2009-04-04,274.7419
2009-04-05,220.2966
2009-04-06,192.9294
2009-04-07,169.1272
2009-04-08,151.8927
2009-04-09,140.1748
2009-04-10,153.786
2009-04-11,413.2544
2009-04-12,250.4982
2009-04-13,206.3776
2009-04-14,225.5766
2009-04-15,230.5208
2009-04-16,188.2578
